Gene.refGene,Z_score
CCDC60,0.198511609
THOC7,-0.139553057
TCTA,-0.092579831
OR8K3,0.038788556
GGTLC2,0.041151091
B2M,-0.19253468
C6orf141,0.084098402
LPPR4,0.032298688
SQLE,-0.086854967
GLIPR2,-0.129670246
SEPHS1,-0.067490509
PLRG1,-0.04483723
SPG7,-0.160923227
ZNF614,0.017453664
PARD6G,-0.047571916
GRPEL2,0.026420707
INPP5B,-0.038402109
PPID,-0.075663284
TRIM56,-0.087189839
IL20RA,0.035300061
UBE2J1,-0.128502611
UTS2R,0.078885709
SAFB2,-0.074852425
DNAJC25,0.142681131
KLRG1,0.000845343
NEURL3,0.102069541
MS4A8B,0.02190292
E2F4,-0.048390415
CLEC4M,0.028392601
TAC1,0.028589083
GYPA,0.14256695
TRAIP,0.180122609
LOC729852,0.06435189
KIAA0232,0.016806734
ERCC8,0.0297763
GPX4,-0.13718261
KIAA0368,-0.038548051
GPR157,0.014899753
FAM199X,0.04874563
OR52A1,0.039296243
ALG9,0.006706517
BTBD10,0.068518384
SDK2,0.141264441
BAIAP3,0.035256335
RABGGTB,-0.081914001
ANKRD40,-0.170370646
KRT74,0.051034713
CALCOCO2,-0.159404901
SNCA,0.008079112
SPATS2L,-0.128503481
C2orf53,0.130886628
ESRRB,0.142108791
ARHGAP26,0.147950341
SLC48A1,-0.203682313
CDK16,-0.039611193
PRCD,0.185613308
TDRD9,0.139815398
HRAS,-0.119652639
JAGN1,-0.177630948
BSDC1,-0.090011069
RNF43,0.024083897
NDUFAF1,-0.141461212
PHF12,0.055363021
KRTAP4-8,0.024511504
OR1L3,0.076881072
FOLR2,-0.146178404
LYZL6,0.027173056
WSB1,0.027717235
OSTN,0.06782218
PROS1,-0.090648953
PSMB8,-0.185066483
SOCS4,-0.017249304
DDIT4L,-0.042841788
SDR39U1,-0.024397885
MAS1,0.065603967
TBCCD1,0.107480439
CSHL1,0.075732275
SCARNA16,0.028178045
AP2S1,-0.111943047
VAT1,-0.156330094
TUFM,-0.122841487
OR7E5P,0.094571556
THEG,0.145456554
KRT34,0.072515727
SGSM3,-0.103998376
TOMM22,-0.114719489
CPO,-0.017924256
SOCS3,-0.156729798
POP4,-0.130516636
MALL,-0.097315881
OR1B1,0.144175451
PARK2,0.118963176
GPR124,-0.079072308
TMEM132A,0.066040938
LCE1E,0.142734172
RUVBL2,-0.02886787
CGRRF1,-0.122127264
ACPL2,0.028815302
WNT10B,0.166403658
BAIAP2L2,0.081546247
ISCA1,-0.13581029
SNORD51,0.061761745
RPAP1,0.07723183
EPN1,-0.215416636
NLRP9,0.073458208
LOC389493,-0.034843291
SLC35A1,-0.149237616
GAL,0.107170221
SLC14A2,0.113631002
RDH11,-0.068331576
AUH,0.011616729
C14orf129,0.038439245
MBD2,-0.080058162
ABHD14B,-0.106901106
PIGT,-0.252982452
ALAS1,-0.166459454
FOXO1,-0.141529278
CRLF3,0.116855319
OR5W2,0.042567093
FARS2,-0.061433669
CCDC28A,-0.092347167
OR13F1,0.079893802
NPHP3,-0.014467431
TSEN54,-0.028398393
OR8B4,0.1077048
STH,0.035785082
HMGXB4,-0.029231043
CBX2,0.098839648
ZC3H14,-0.020311572
CXADRP2,0.016966996
RBMXL1,-0.064679231
CRTAP,-0.220935572
DDX50,-0.037849414
STYXL1,0.024891463
TBPL2,0.117078753
EFCAB4A,0.010943807
BLVRB,-0.179695127
MMP24,0.044677003
GRID1,0.05786759
BANF1,-0.160983601
CATSPER2P1,0.088410504
FAM13A,0.051987362
HMBS,-0.023225451
SLC25A24,-0.096430756
CCDC129,0.137320312
MRO,-0.011631706
SLC25A15,-0.025288794
ACER3,-0.089557624
FAM84B,0.009382979
TDP1,0.046145982
C11orf57,0.04835788
RFK,-0.087439091
ARHGAP8,0.008486516
ZFYVE9,0.001363321
WIBG,-0.051208579
GBA2,0.061756901
HSD17B13,0.028980053
NDUFB3,-0.069643003
KRTAP5-11,0.071181494
GRIN3A,0.107607478
FMNL1,-0.067285586
SEPT7,-0.070895386
GNLY,-0.077380888
GRAMD1C,0.126933374
ZNF165,-0.01597917
FAM83A,0.087056368
USP38,-0.059509246
ARMCX3,-0.046996231
ARHGDIB,-0.233656768
AK1,-0.15723099
ACSS3,-0.075892409
DNAJB13,0.112778829
NEU2,0.058612436
HIST1H4B,0.124943955
FAM20B,0.016517441
HES2,0.048000878
AMPH,0.230924639
INTS7,0.115384367
ZNF775,-0.01082469
UCKL1,0.044956738
SNORA23,0.064742347
HNRNPH1,-0.076393521
ALDH1L1,-0.068393208
COX16,-0.120338813
SLC23A1,0.114554312
RBM4B,-0.031924371
OGFRL1,-0.045765948
KRTAP10-5,0.06182069
PPP1R15A,-0.205160859
C1orf96,0.109384284
BMF,0.02192061
MAN1A1,-0.188314643
TGIF2LY,0.060926148
NKAIN1,0.148863725
NLGN4X,0.071797019
IFNE,0.100182209
ALOX12,0.024187186
RB1CC1,-0.047001258
NEIL2,-0.102279555
EIF4E,-0.055454772
ABHD5,-0.074019937
SIGLEC15,0.149167796
EXOC4,0.101864648
HEATR5A,0.051191248
PRAMEF14,0.019076355
SLC29A4,0.023628603
BATF2,0.011196305
HTR4,0.166402603
URGCP,-0.04239544
EMB,0.02244896
TRAF6,0.003240651
LPAR3,0.044634
LMNB1,0.154415414
FAM19A5,0.11857667
PIK3C2B,-0.007874782
AKR1E2,0.085081138
USP15,0.060984349
TCEAL2,0.012397833
C5orf39,-0.006198824
PTGER2,-0.067368996
SLC31A1,-0.104565269
IFT172,0.151067933
GFOD1,-0.048671176
ADAM29,0.002989233
ST7L,0.100122031
PKN3,0.04670445
CNTD1,0.059190655
COMMD1,-0.086811124
WASH7P,-0.03495672
NTRK2,-0.034922782
OCM2,0.087222081
FOXN3,-0.128814997
MFGE8,-0.096675352
PFKFB2,0.114834822
TAS2R4,0.065695544
ENTHD1,0.085717965
PRMT5,-0.135675411
DCAF4,-0.076436504
LCLAT1,0.130940533
TSKU,-0.134406588
KRTCAP3,-0.006886336
PDLIM1,-0.159971468
KCNS2,0.092089922
CEP63,0.028627766
RNF126,-0.034406858
CLIC4,-0.091410672
ACR,0.036764166
KLK7,0.056864189
ALOX5AP,-0.127756963
RIPK3,-0.002170013
TAS2R9,0.063338476
BIRC6,0.121261589
ZNF16,-0.042008845
RFT1,-0.020868614
APOC1P1,-0.039170864
TACC1,-0.09040082
SH3PXD2B,-0.107264969
SAMHD1,-0.136844677
C20orf85,-0.046906879
EPC2,0.023884703
ATP13A2,-0.004731895
KRT4,-0.013398615
SNX18,0.064906101
CAPNS1,-0.234827006
MDM2,-0.023352918
KCNK9,0.053599131
PCDH20,-0.030061852
KLHDC3,-0.06558863
OR2C1,0.033908045
IPPK,0.060185811
EFHD2,-0.151260693
GALR3,0.082732841
ABCA6,-0.019325409
NBEA,0.233621599
CLDN3,-0.044429464
AKT2,-0.061426233
EGFR,-0.023312729
ZDHHC3,-0.055278245
SLC25A4,-0.038865366
CYB5B,-0.11664408
NDRG1,-0.089870407
CPXM1,-0.031992974
CDHR4,0.184742676
FLJ43826,0.063166352
ANKRD30BP2,0.08003129
OR5L2,0.097348889
ZNF285,0.125273543
FARP2,0.013616198
MRPL46,-0.145040299
MAPKAPK3,-0.066430931
LDHAL6B,0.008843247
NCAM2,0.03094456
PRKD2,-0.122628436
CYSLTR1,0.001600963
ZFP36L1,-0.218605352
OR4C3,0.101542288
HIST1H2AJ,0.054676437
CCNB2,0.045300836
ZNF10,0.005706821
TMEM175,-0.04775594
FAM134A,-0.021372408
TIGD4,0.222890918
FLJ13197,0.133677876
PCNP,-0.100921955
CREB1,0.022081459
NAA38,0.035701114
TMPRSS3,0.119846749
C4orf32,-0.206020756
LAT,0.063026464
KCNA3,0.098242846
SKIV2L2,0.028865833
ROPN1B,0.081731067
ZHX2,-0.11011177
CDT1,0.170558373
FKSG29,0.071090962
CD28,0.046689707
SEPT2,-0.192316537
ZNF624,0.092607603
SOHLH2,0.084632565
MCOLN3,0.153981136
MASP2,0.056508126
GPATCH3,-0.003922159
AGL,0.03055995
QRICH2,0.087750242
PSD4,-0.020086039
CCNB1IP1,-0.20727774
LOC100289187,0.009113254
ENPP7,0.079302404
KCNG3,0.028025749
OBFC1,-0.07931917
ENPEP,-0.009329181
C14orf79,-0.00715948
MIR93,0.03131096
SCT,0.163107206
SKI,-0.130996341
SHISA4,-0.024056451
SEC61G,-0.105001234
CAPN11,0.083845045
FAIM,0.151749765
DBNDD1,0.050811952
GABRP,0.077156791
AWAT2,0.158251744
TACSTD2,-0.081055021
PPP2R2A,-0.070452475
EIF3J,-0.113086409
TEKT4,0.165834951
ZNF541,0.087833557
PVALB,0.228526487
F10,-0.046307023
FAM134C,-0.010857962
COMP,-0.016430346
SCLT1,0.211717833
TAL1,0.043955518
ACSL1,-0.116277079
ABCC5,0.207359676
RBBP7,-0.096565127
ABL1,-0.101668925
PTPRG,0.078022346
NCOR1,0.038516825
SPINK4,0.242381274
TXNRD1,-0.216647026
UBE2H,-0.081312801
BRDT,0.064380414
FAM156A,0.030146508
SLC6A8,-0.021679739
CCNE2,0.13001058
CALCR,0.103987265
CDC45,0.153114041
PPP1CB,-0.153245225
ABHD8,-0.024483714
ARF5,-0.113507956
SLC24A4,0.228227818
CCT3,-0.131557502
ZNF121,-0.024760236
SLC5A10,0.141590132
SLC3A2,-0.127913033
OR13A1,0.05789953
RAD50,-0.018189613
IER5,-0.09185467
MBTPS2,-0.031552929
MTHFD1L,0.016638433
MVK,0.014671789
NCL,-0.162260599
PSMD10,-0.166543171
KRTAP5-3,0.034729048
HRH1,-0.029559459
RASGRP3,-0.029158907
NUDT16L1,-0.100095332
C16orf11,0.114314603
LOC284837,0.111018671
PRKRIP1,-0.095184317
CCDC75,0.105641436
MED21,-0.16968796
SYT11,-0.00224546
NTSR2,0.063647933
CXorf59,0.213626577
LRMP,0.057342383
SPTBN2,0.072515663
BHLHE40,-0.117307713
KLHL31,-0.043758465
RNF111,0.011256723
C11orf92,-0.004670614
PTH,0.02475415
P2RY10,-0.0318944
NME5,0.03635903
DDX21,-0.202718949
LRSAM1,0.058282442
HDAC11,0.007273847
VMO1,-0.111317979
MTO1,-0.077398894
ADAR,-0.141618567
